aX,aY,aZ,gX,gY,gZ
0.902,-0.132,0.406,-4.700,-7.812,8.850
0.902,-0.124,0.410,-5.188,-8.057,7.324
0.902,-0.117,0.413,-4.700,-7.812,5.554
0.910,-0.113,0.414,-2.869,-6.470,3.845
0.907,-0.108,0.415,-0.977,-4.700,2.747
0.906,-0.110,0.412,-0.061,-2.869,2.563
0.895,-0.120,0.408,-0.427,-1.648,3.052
0.886,-0.126,0.407,-0.732,-1.099,3.235
0.882,-0.125,0.401,-0.610,-0.732,3.906
0.888,-0.119,0.402,-0.366,-0.244,4.395
0.892,-0.111,0.404,-0.977,0.122,4.639
0.894,-0.113,0.413,-1.648,0.488,4.028
0.897,-0.115,0.420,-1.526,1.160,3.235
0.890,-0.121,0.429,-0.854,2.075,2.380
0.890,-0.125,0.427,-0.122,3.235,2.014
0.888,-0.118,0.422,0.793,4.028,1.831
0.883,-0.114,0.414,1.831,4.456,1.404
0.877,-0.117,0.411,2.380,4.578,0.977
0.873,-0.124,0.409,2.319,4.272,0.305
0.876,-0.126,0.406,2.380,3.601,0.122
0.878,-0.120,0.398,2.930,3.052,0.488
0.876,-0.113,0.395,3.662,1.953,0.793
0.876,-0.106,0.388,4.272,0.061,0.305
0.878,-0.110,0.391,4.517,-1.038,-0.305
0.877,-0.110,0.398,3.845,-1.648,-0.183
0.884,-0.105,0.404,2.502,-0.916,1.160
0.888,-0.101,0.408,1.465,-0.122,2.380
0.889,-0.101,0.412,0.671,0.671,2.380
0.893,-0.103,0.415,-0.244,1.465,1.953
0.889,-0.107,0.412,-0.488,2.014,0.916
0.881,-0.111,0.408,-0.183,2.563,0.244
0.871,-0.115,0.407,0.244,2.747,-0.061
0.869,-0.119,0.402,0.549,2.014,-0.305
0.868,-0.120,0.404,1.343,0.732,-1.099
0.865,-0.125,0.417,2.991,-0.366,-1.404
0.869,-0.134,0.422,4.883,-1.709,-1.404
0.873,-0.131,0.424,6.165,-2.991,-1.831
0.871,-0.132,0.424,6.836,-4.150,-2.441
0.866,-0.128,0.428,6.897,-5.005,-4.333
0.869,-0.128,0.429,6.287,-4.944,-4.517
0.881,-0.130,0.432,4.944,-2.869,-1.526
0.881,-0.126,0.436,2.991,-0.488,1.160
0.882,-0.124,0.434,1.892,0.793,1.648
0.890,-0.130,0.434,1.526,1.831,0.977
0.887,-0.132,0.431,0.671,2.808,0.427
0.877,-0.132,0.420,0.366,2.625,-0.610
0.876,-0.124,0.411,0.488,1.343,-1.038
0.874,-0.132,0.416,-0.061,-0.305,-1.587
0.875,-0.131,0.420,-0.854,-2.502,-2.563
0.889,-0.125,0.426,-0.488,-2.808,-2.380
0.904,-0.116,0.441,0.854,-1.465,-0.916
0.904,-0.119,0.444,0.366,-0.244,0.671
0.907,-0.116,0.449,-2.563,1.526,1.709
0.906,-0.121,0.450,-6.348,2.930,2.075
0.899,-0.131,0.433,-9.460,1.709,1.892
0.889,-0.125,0.441,-10.376,-0.183,2.502
0.872,-0.134,0.416,-8.789,-3.052,3.723
0.859,-0.141,0.415,-5.676,-5.066,4.517
0.838,-0.155,0.398,-2.197,-7.935,4.639
0.819,-0.151,0.390,0.244,-9.521,4.578
0.828,-0.139,0.390,2.380,-8.423,4.089
1.013,0.367,1.137,-48.645,-17.700,113.831
0.857,0.474,1.206,-74.951,-9.705,138.916
0.566,0.661,1.084,-104.431,2.563,168.213
0.418,0.910,1.090,-119.202,20.142,194.275
0.219,0.967,1.014,-101.257,61.707,220.032
0.171,0.937,0.784,-62.500,110.046,237.183
0.137,0.997,0.705,-3.967,139.282,249.817
0.250,0.962,0.576,54.138,134.399,257.629
0.152,1.015,0.685,106.323,116.028,250.000
0.104,1.036,0.745,144.043,83.679,238.525
0.071,1.003,0.830,172.791,49.805,228.271
-0.026,0.987,0.930,178.406,39.673,216.309
-0.064,1.012,0.933,154.419,35.889,200.317
-0.104,1.092,0.879,120.117,41.870,174.194
-0.118,1.166,0.803,92.346,51.453,133.301
-0.136,1.201,0.772,75.073,62.439,78.552
-0.140,1.140,0.808,60.486,69.397,20.386
-0.156,1.007,0.886,34.424,66.467,-26.672
-0.176,0.896,0.966,-10.132,59.448,-56.274
-0.180,0.827,1.000,-66.223,57.251,-70.984
-0.176,0.792,0.992,-117.004,65.918,-80.688
-0.186,0.777,0.947,-150.024,79.346,-90.881
-0.192,0.757,0.877,-162.598,92.346,-100.525
-0.211,0.724,0.808,-159.302,102.295,-107.544
-0.232,0.707,0.736,-150.269,108.582,-112.061
-0.224,0.684,0.652,-141.602,112.244,-113.281
-0.212,0.685,0.588,-134.521,113.098,-113.525
-0.214,0.682,0.560,-128.296,108.826,-114.075
-0.174,0.663,0.530,-122.314,99.243,-115.540
-0.145,0.639,0.533,-114.868,88.928,-120.483
-0.116,0.614,0.546,-107.117,81.665,-127.380
-0.095,0.588,0.547,-99.487,77.637,-133.423
-0.074,0.569,0.555,-92.224,76.355,-137.451
-0.084,0.574,0.550,-88.745,75.928,-137.939
-0.069,0.581,0.529,-90.637,76.294,-136.108
-0.048,0.571,0.504,-94.849,74.341,-135.132
-0.031,0.542,0.473,-100.586,72.693,-138.611
-0.018,0.500,0.406,-109.863,74.341,-143.921
0.002,0.434,0.356,-122.803,80.322,-148.621
0.035,0.378,0.258,-139.709,80.383,-152.588
0.046,0.340,0.200,-157.959,70.618,-155.334
0.061,0.320,0.165,-174.744,55.908,-154.541
0.094,0.322,0.152,-188.354,38.147,-149.902
0.115,0.352,0.165,-197.021,18.860,-143.005
0.145,0.393,0.181,-199.890,2.075,-135.803
0.185,0.428,0.190,-195.435,-10.376,-130.798
0.213,0.451,0.195,-184.692,-19.470,-129.517
0.255,0.438,0.198,-170.166,-24.902,-131.165
0.300,0.388,0.203,-154.175,-27.771,-134.949
0.339,0.323,0.218,-140.503,-31.799,-140.137
0.367,0.257,0.244,-132.263,-38.452,-143.127
0.401,0.197,0.269,-129.333,-44.373,-141.174
0.425,0.156,0.291,-131.104,-48.645,-135.132
