aX,aY,aZ,gX,gY,gZ
0.185,0.390,0.758,1.648,49.744,12.268
0.200,0.383,0.704,4.028,46.387,8.972
0.208,0.363,0.660,5.981,42.114,3.845
0.216,0.327,0.633,6.348,38.452,-0.732
0.219,0.292,0.612,4.333,34.119,-3.967
0.223,0.266,0.598,0.122,28.931,-4.761
0.227,0.250,0.588,-4.822,21.973,-3.784
0.233,0.244,0.590,-8.362,14.343,-1.892
0.235,0.246,0.606,-9.460,6.531,0.061
0.226,0.262,0.638,-9.094,0.305,2.991
0.217,0.293,0.676,-7.751,-4.333,6.348
0.222,0.325,0.717,-5.432,-8.057,9.033
0.228,0.350,0.767,-1.709,-10.803,9.338
0.229,0.360,0.816,1.709,-12.695,7.629
0.233,0.361,0.860,3.967,-12.329,5.127
0.235,0.357,0.895,4.517,-10.803,3.357
0.241,0.352,0.920,3.967,-9.094,2.441
0.239,0.349,0.943,2.563,-8.606,2.380
0.233,0.353,0.963,1.038,-8.423,2.686
0.231,0.359,0.979,-0.122,-8.179,3.784
0.224,0.373,0.996,-0.854,-7.507,4.944
0.225,0.390,1.006,-1.282,-5.737,5.737
0.225,0.406,1.011,-1.587,-3.723,5.798
0.232,0.414,1.007,-1.648,-1.038,4.700
0.238,0.414,1.000,-1.648,1.648,2.808
0.242,0.407,0.982,-1.282,5.737,-0.061
0.247,0.390,0.952,-0.671,10.071,-2.075
0.247,0.373,0.922,-0.061,13.245,-3.906
0.249,0.358,0.896,0.671,14.587,-4.456
0.249,0.348,0.878,0.977,13.794,-4.211
0.251,0.345,0.865,0.610,13.123,-3.601
0.247,0.345,0.853,-0.183,13.489,-3.540
0.244,0.343,0.838,-0.488,14.282,-4.211
0.243,0.333,0.822,-0.366,15.015,-5.493
0.251,0.315,0.807,0.366,15.015,-7.324
0.252,0.293,0.797,1.099,13.489,-8.362
0.251,0.276,0.797,0.305,10.986,-7.935
0.250,0.265,0.798,-1.648,7.935,-6.531
0.248,0.266,0.807,-3.906,4.700,-4.456
0.250,0.270,0.820,-5.432,1.953,-2.380
0.255,0.275,0.834,-6.042,0.488,-1.343
0.254,0.279,0.846,-5.371,0.366,-1.160
0.255,0.278,0.849,-4.089,1.465,-1.221
0.256,0.275,0.846,-2.136,3.662,-1.221
0.263,0.269,0.836,-0.488,4.700,-1.099
0.277,0.258,0.828,0.793,4.883,-0.916
0.284,0.249,0.824,0.916,3.967,-0.854
0.294,0.243,0.826,-0.610,2.563,0.061
0.310,0.240,0.828,-2.991,1.038,1.709
0.309,0.246,0.833,-4.761,0.122,4.089
0.294,0.260,0.844,-4.822,-0.427,7.324
0.280,0.286,0.859,-2.869,-1.648,11.414
0.278,0.315,0.884,0.061,-3.540,15.686
0.270,0.350,0.916,2.808,-4.822,18.372
0.263,0.383,0.949,4.517,-4.578,19.470
0.269,0.406,0.972,4.211,-2.563,18.982
0.268,0.421,0.981,1.953,0.916,16.418
0.256,0.429,0.978,-1.160,5.310,12.756
0.239,0.432,0.961,-4.517,9.766,8.789
0.230,0.417,0.941,-6.287,12.512,5.127
0.219,0.386,0.939,-6.897,12.329,0.916
0.219,0.341,0.963,-7.690,8.789,-2.747
0.219,0.290,1.005,-10.193,3.235,-5.920
0.253,0.226,1.068,-14.709,-1.282,-9.033
0.285,0.149,1.131,-20.874,-8.423,-13.245
0.311,0.045,1.213,-28.381,-15.869,-17.517
0.345,-0.058,1.301,-38.391,-18.616,-20.813
0.397,-0.160,1.371,-49.622,-17.639,-21.484
0.457,-0.274,1.433,-61.646,-15.625,-20.020
0.507,-0.373,1.475,-75.134,-9.888,-16.479
0.626,-0.527,1.510,-91.736,-4.028,-11.536
0.687,-0.658,1.530,-113.953,-1.282,-8.301
0.713,-0.799,1.523,-140.625,7.080,-6.348
0.648,-0.801,1.490,-167.847,14.587,-3.601
0.612,-0.757,1.437,-184.387,24.231,-1.526
0.516,-0.721,1.402,-183.411,28.259,4.822
0.372,-0.641,1.387,-171.692,41.565,18.982
0.272,-0.534,1.341,-151.001,65.674,42.908
0.168,-0.382,1.241,-118.347,96.985,72.144
0.107,-0.201,1.092,-69.580,131.165,101.318
0.082,-0.027,0.914,-6.226,160.156,127.197
0.041,0.134,0.750,63.416,178.101,147.827
0.033,0.266,0.608,128.845,184.265,167.175
0.024,0.341,0.517,178.162,176.392,186.584
-0.016,0.432,0.533,199.768,172.119,209.229
-0.092,0.489,0.490,185.608,165.649,242.737
-0.107,0.665,0.376,145.386,154.053,265.869
-0.189,1.008,0.295,102.844,139.648,261.414
-0.248,1.183,0.269,75.928,120.422,246.521
-0.263,1.293,0.276,54.626,95.764,220.398
-0.257,1.350,0.316,32.104,71.655,186.646
-0.260,1.345,0.371,5.737,52.612,153.381
-0.254,1.309,0.422,-23.560,38.208,127.136
-0.248,1.281,0.470,-51.453,25.391,109.558
-0.235,1.266,0.513,-70.374,15.747,99.854
-0.054,1.573,0.927,8.789,0.916,33.020
0.000,1.542,1.032,3.784,-0.244,16.602
0.068,1.489,1.113,-9.338,1.892,1.587
0.127,1.434,1.171,-27.283,6.409,-10.315
0.159,1.375,1.219,-44.617,8.972,-18.982
0.175,1.314,1.260,-58.289,11.719,-25.024
0.170,1.254,1.294,-68.848,18.433,-28.748
0.163,1.203,1.295,-77.942,30.396,-31.433
0.144,1.169,1.269,-85.449,46.021,-33.020
0.108,1.153,1.203,-91.675,61.646,-34.912
0.096,1.127,1.106,-96.130,75.378,-39.124
0.098,1.068,1.002,-99.670,85.632,-46.936
0.108,0.979,0.908,-104.248,90.881,-57.556
0.123,0.859,0.826,-112.976,91.736,-67.993
0.144,0.732,0.749,-126.892,91.248,-76.050
0.154,0.615,0.667,-143.250,89.966,-80.078
0.165,0.516,0.570,-156.067,90.271,-80.261
0.162,0.458,0.469,-159.485,92.529,-77.820
0.161,0.366,0.380,-149.170,94.360,-77.026
0.147,0.285,0.302,-133.179,98.633,-74.951
0.137,0.235,0.194,-117.188,104.309,-67.261
0.129,0.208,0.053,-99.121,104.736,-56.824
0.134,0.218,-0.068,-76.721,98.877,-47.058
0.143,0.204,-0.129,-49.011,86.853,-40.466
0.144,0.202,-0.152,-24.719,71.350,-35.156
0.165,0.208,-0.158,-9.094,57.068,-28.748
0.184,0.215,-0.150,0.122,44.922,-23.743
0.191,0.224,-0.130,3.845,33.569,-20.691
0.180,0.240,-0.108,3.845,23.376,-17.639
0.174,0.273,-0.099,1.892,16.113,-13.184
0.155,0.316,-0.090,0.916,9.644,-8.423
0.141,0.370,-0.071,1.099,1.465,-4.089
0.112,0.444,-0.030,1.587,-8.057,0.305
0.097,0.524,0.010,0.671,-18.311,5.920
0.078,0.623,0.054,-1.282,-26.672,11.169
0.071,0.715,0.092,-3.296,-32.288,14.954
0.068,0.803,0.127,-4.211,-35.217,16.357
0.059,0.901,0.159,-3.418,-38.696,15.747
0.044,0.993,0.198,-0.305,-41.748,14.221
0.035,1.082,0.229,4.883,-42.847,11.841
0.035,1.160,0.244,12.451,-41.504,8.057
0.041,1.235,0.240,22.766,-36.743,1.465
0.062,1.274,0.231,36.316,-32.471,-8.789
0.083,1.273,0.237,50.964,-30.334,-23.621
0.107,1.235,0.252,61.829,-29.297,-39.917
0.115,1.189,0.270,64.270,-29.114,-54.504
0.120,1.152,0.282,57.800,-30.457,-65.186
0.120,1.136,0.295,44.800,-34.790,-72.266
0.118,1.139,0.311,28.992,-41.260,-76.782
0.131,1.133,0.335,14.648,-48.523,-81.909
0.154,1.105,0.366,2.502,-54.626,-89.478
0.173,1.074,0.392,-9.705,-59.143,-98.389
0.189,1.042,0.413,-21.484,-61.401,-106.323
0.211,1.010,0.424,-31.250,-62.744,-113.098
0.246,0.965,0.431,-37.292,-64.087,-119.080
0.284,0.902,0.440,-39.917,-64.758,-125.183
0.326,0.832,0.453,-42.175,-66.223,-129.761
0.366,0.761,0.469,-45.410,-68.542,-133.118
0.409,0.690,0.486,-49.744,-71.350,-134.277
0.435,0.624,0.500,-54.138,-74.097,-134.277
